 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     SPECIFIC HEAT COEFFICIENTS                                                                     

             Cp = A + B*T + C*T^2 + D*T^3 + E*T^4  [J/kg/K]                                                         

    Species                      Cp(298K)         Cp(1000K)          LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)             A(HT)           B(HT)            C(HT)            D(HT)           E(HT)      
   36. LC5H8                    1.548395e+03     3.222182e+03     1.000000e+03     2.155988e+02     5.281187e+00    -2.900258e-03     6.256543e-07     0.000000e+00     9.730521e+02     3.278648e+00    -1.167540e-03     1.380220e-07     0.000000e+00
   37. DIALLYL                  1.466959e+03     3.265860e+03     1.413000e+03    -1.026078e+02     6.460017e+00    -4.460107e-03     1.602195e-06    -2.336368e-10     1.624066e+03     2.376282e+00    -7.953506e-04     1.216618e-07    -6.984894e-12
   38. NC7H12                   2.453802e+03     5.505704e+03     5.893400e+02    -1.275585e+02     1.041814e+01    -6.395779e-03     1.723657e-06    -1.127587e-10    -1.275585e+02     1.041814e+01    -6.395779e-03     1.723657e-06    -1.127587e-10
   39. NC8H14                   2.352194e+03     5.278818e+03     6.165300e+02    -1.368358e+02     1.006737e+01    -6.261401e-03     1.738448e-06    -1.287661e-10    -1.368358e+02     1.006737e+01    -6.261401e-03     1.738448e-06    -1.287661e-10
   40. NC9H16                   2.273532e+03     5.103169e+03     6.408600e+02    -1.440180e+02     9.795816e+00    -6.157370e-03     1.749899e-06    -1.411586e-10    -1.440180e+02     9.795816e+00    -6.157370e-03     1.749899e-06    -1.411586e-10
   41. NC10H18                  2.210831e+03     4.963162e+03     6.625600e+02    -1.497428e+02     9.579363e+00    -6.074448e-03     1.759027e-06    -1.510365e-10    -1.497428e+02     9.579363e+00    -6.074448e-03     1.759027e-06    -1.510365e-10
   42. NC11H20                  2.159682e+03     4.848948e+03     6.822800e+02    -1.544129e+02     9.402786e+00    -6.006803e-03     1.766473e-06    -1.590946e-10    -1.544129e+02     9.402786e+00    -6.006803e-03     1.766473e-06    -1.590946e-10
   43. NC12H22                  2.117160e+03     4.754001e+03     6.998400e+02    -1.582953e+02     9.255995e+00    -5.950568e-03     1.772663e-06    -1.657935e-10    -1.582953e+02     9.255995e+00    -5.950568e-03     1.772663e-06    -1.657935e-10
   44. NC16H34                  1.638512e+03     3.735820e+03     1.391000e+03    -1.355264e+02     7.219013e+00    -4.691602e-03     1.550639e-06    -2.067039e-10     1.893099e+03     2.702598e+00    -9.175133e-04     1.417585e-07    -8.197543e-12
   45. NC30H62                  1.660095e+03     3.747182e+03     8.518000e+02    -1.601356e+02     7.431931e+00    -4.877695e-03     1.507373e-06    -1.542924e-10    -1.601356e+02     7.431931e+00    -4.877695e-03     1.507373e-06    -1.542924e-10
   46. NC45H92                  1.658581e+03     3.739221e+03     9.198400e+02    -1.735287e+02     7.508508e+00    -5.031329e-03     1.617850e-06    -1.822781e-10    -1.735287e+02     7.508508e+00    -5.031329e-03     1.617850e-06    -1.822781e-10
   47. NC60H122                 1.657822e+03     3.735232e+03     9.686500e+02    -1.802413e+02     7.546887e+00    -5.108330e-03     1.673220e-06    -1.963044e-10    -1.802413e+02     7.546887e+00    -5.108330e-03     1.673220e-06    -1.963044e-10
   48. NC16H32                  1.830865e+03     4.127704e+03     7.522500e+02    -1.468576e+02     8.035743e+00    -5.130711e-03     1.501763e-06    -1.322333e-10    -1.468576e+02     8.035743e+00    -5.130711e-03     1.501763e-06    -1.322333e-10
   49. NC30H60                  1.749046e+03     3.938947e+03     8.509000e+02    -1.718643e+02     7.861513e+00    -5.228412e-03     1.659542e-06    -1.818327e-10    -1.718643e+02     7.861513e+00    -5.228412e-03     1.659542e-06    -1.818327e-10
   50. NC45H90                  1.717877e+03     3.867039e+03     9.193000e+02    -1.813906e+02     7.795140e+00    -5.265632e-03     1.719649e-06    -2.007277e-10    -1.813906e+02     7.795140e+00    -5.265632e-03     1.719649e-06    -2.007277e-10
   51. NC60H120                 1.702293e+03     3.831085e+03     9.676800e+02    -1.861538e+02     7.761954e+00    -5.284242e-03     1.749702e-06    -2.101752e-10    -1.861538e+02     7.761954e+00    -5.284242e-03     1.749702e-06    -2.101752e-10
   52. NC16H30                  2.000709e+03     4.493971e+03     7.565400e+02    -1.689278e+02     8.853984e+00    -5.796560e-03     1.789615e-06    -1.841393e-10    -1.689278e+02     8.853984e+00    -5.796560e-03     1.789615e-06    -1.841393e-10
   53. NC30H58                  1.838854e+03     4.132557e+03     8.498000e+02    -1.837059e+02     8.295232e+00    -5.582507e-03     1.813176e-06    -2.096381e-10    -1.837059e+02     8.295232e+00    -5.582507e-03     1.813176e-06    -2.096381e-10
   54. NC45H88                  1.777553e+03     3.995676e+03     9.183900e+02    -1.893029e+02     8.083610e+00    -5.501436e-03     1.822100e-06    -2.192955e-10    -1.893029e+02     8.083610e+00    -5.501436e-03     1.822100e-06    -2.192955e-10
   55. NC60H118                 1.746976e+03     3.927399e+03     9.671500e+02    -1.920947e+02     7.978053e+00    -5.460998e-03     1.826551e-06    -2.241126e-10    -1.920947e+02     7.978053e+00    -5.460998e-03     1.826551e-06    -2.241126e-10
   56. NC16H33                  1.616281e+03     3.672154e+03     1.387000e+03    -8.962291e+01     6.885431e+00    -4.268054e-03     1.294081e-06    -1.496813e-10     1.882132e+03     2.622411e+00    -8.869581e-04     1.367220e-07    -7.894536e-12
   57. NC30H61                  1.650370e+03     3.712414e+03     8.501900e+02    -1.455631e+02     7.322673e+00    -4.764482e-03     1.433539e-06    -1.337528e-10    -1.455631e+02     7.322673e+00    -4.764482e-03     1.433539e-06    -1.337528e-10
