------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	N         14.00699997
  4.	HE         4.00299978
------------------------------


--------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       N      HE
   64. NC16H31               1       658.7510         8.3590         0.0000         0.0000         0.0000
   65. NC30H59               1       847.8490        11.1170         0.0000         0.0000         0.0000
   66. NC45H89               1      1098.9060        13.3010         0.0000         0.0000         0.0000
   67. NC60H119              1      2173.4360        11.7250         0.0000         0.0000         0.0000
   68. NC16H31_T             1       658.7510         8.3590         0.0000         0.0000         0.0000
   69. NC30H59_T             1       847.8490        11.1170         0.0000         0.0000         0.0000
   70. NC45H89_T             1      1098.9060        13.3010         0.0000         0.0000         0.0000
   71. NC60H119_T            1      2173.4360        11.7250         0.0000         0.0000         0.0000
   72. NC16H31_A             1       658.7510         8.3590         0.0000         0.0000         0.0000
   73. NC30H59_A             1       847.8490        11.1170         0.0000         0.0000         0.0000
   74. NC45H89_A             1      1098.9060        13.3010         0.0000         0.0000         0.0000
   75. NC60H119_A            1      2173.4360        11.7250         0.0000         0.0000         0.0000
   76. NC16H29               1       669.1200         8.1740         0.0000         0.0000         0.0000
   77. NC30H57               1       860.6960        10.9250         0.0000         0.0000         0.0000
   78. NC45H87               1      1119.9710        13.0870         0.0000         0.0000         0.0000
   79. NC60H117              1      2259.6970        11.2880         0.0000         0.0000         0.0000
   80. NC16H29_A             1       669.1200         8.1740         0.0000         0.0000         0.0000
   81. NC30H57_A             1       860.6960        10.9250         0.0000         0.0000         0.0000
   82. NC45H87_A             1      1119.9710        13.0870         0.0000         0.0000         0.0000
   83. NC60H117_A            1      2259.6970        11.2880         0.0000         0.0000         0.0000
------------------------------------------------------------------------------------------------------------------


---------------------------------------------------------------------------------------
                                  CHEMICAL REACTIONS                                   

                          Units: [mol, cm3, s] and [cal/mol]                           
---------------------------------------------------------------------------------------


